Cereal Name,Permeabilità,Pervasività,Manufacturer
Afghanistan,0,5,"Poco permeabile, molto pervasivo"
Algeria,0,9,"Poco permeabile, molto pervasivo"
Argentina,3,4,"Molto permeabile, poco pervasivo"
Australia,2,0,"Poco permeabile, poco pervasivo"
Austria,2,5,"Poco permeabile, molto pervasivo"
Bangladesh,1,3,"Poco permeabile, poco pervasivo"
Brazil,5,7,"Molto permeabile, molto pervasivo"
Brunei,4,3,"Molto permeabile, poco pervasivo"
Cambodia,5,5,"Molto permeabile, molto pervasivo"
Canada,3,4,"Molto permeabile, poco pervasivo"
Cape Verde,1,3,"Poco permeabile, poco pervasivo"
China,0,6,"Poco permeabile, molto pervasivo"
Colombia,5,6,"Molto permeabile, molto pervasivo"
Denmark,3,3,"Molto permeabile, poco pervasivo"
Ecuador,3,4,"Molto permeabile, poco pervasivo"
Egypt,1,2,"Poco permeabile, poco pervasivo"
Ethiopia,1,4,"Poco permeabile, poco pervasivo"
France,4,6,"Molto permeabile, molto pervasivo"
Germany,1,5,"Poco permeabile, molto pervasivo"
Ghana,0,2,"Poco permeabile, poco pervasivo"
Greece,2,7,"Poco permeabile, molto pervasivo"
Hungary,3,4,"Molto permeabile, poco pervasivo"
India,2,4,"Poco permeabile, poco pervasivo"
Indonesia,0,6,"Poco permeabile, molto pervasivo"
Iraq,3,5,"Molto permeabile, molto pervasivo"
Ireland,2,4,"Poco permeabile, poco pervasivo"
Islamic Republic of Iran,0,5,"Poco permeabile, molto pervasivo"
Israel,0,6,"Poco permeabile, molto pervasivo"
Italy,0,7,"Poco permeabile, molto pervasivo"
Jamaica,3,6,"Molto permeabile, molto pervasivo"
Japan,4,6,"Molto permeabile, molto pervasivo"
Jordan,0,3,"Poco permeabile, poco pervasivo"
Kyrgyzstan,0,0,"Poco permeabile, poco pervasivo"
Lebanon,0,5,"Poco permeabile, molto pervasivo"
Lithuania,1,6,"Poco permeabile, molto pervasivo"
Malaysia,4,6,"Molto permeabile, molto pervasivo"
Malta,5,5,"Molto permeabile, molto pervasivo"
Mexico,4,5,"Molto permeabile, molto pervasivo"
Morocco,0,5,"Poco permeabile, molto pervasivo"
Myanmar,1,7,"Poco permeabile, molto pervasivo"
Nepal,2,4,"Poco permeabile, poco pervasivo"
Nigeria,0,4,"Poco permeabile, poco pervasivo"
Pakistan,0,5,"Poco permeabile, molto pervasivo"
Peru,6,5,"Molto permeabile, molto pervasivo"
Philippines,3,6,"Molto permeabile, molto pervasivo"
Poland,3,5,"Molto permeabile, molto pervasivo"
Portugal,2,5,"Poco permeabile, molto pervasivo"
Puerto Rico,1,1,"Poco permeabile, poco pervasivo"
Romania,3,7,"Molto permeabile, molto pervasivo"
Russian Federation,1,3,"Poco permeabile, poco pervasivo"
Saudi Arabia,2,3,"Poco permeabile, poco pervasivo"
Singapore,3,4,"Molto permeabile, poco pervasivo"
South Africa,1,4,"Poco permeabile, poco pervasivo"
South Korea,5,5,"Molto permeabile, molto pervasivo"
Spain,2,4,"Poco permeabile, poco pervasivo"
Switzerland,4,4,"Molto permeabile, poco pervasivo"
Syria,0,3,"Poco permeabile, poco pervasivo"
Thailand,3,5,"Molto permeabile, molto pervasivo"
Tunisia,2,5,"Poco permeabile, molto pervasivo"
Turkey,2,2,"Poco permeabile, poco pervasivo"
Ukraine,2,3,"Poco permeabile, poco pervasivo"
United Kingdom,1,5,"Poco permeabile, molto pervasivo"
United States of America,4,6,"Molto permeabile, molto pervasivo"
Uzbekistan,2,3,"Poco permeabile, poco pervasivo"
Venezuela,4,5,"Molto permeabile, molto pervasivo"
Vietnam,0,6,"Poco permeabile, molto pervasivo"
Yemen,0,4,"Poco permeabile, poco pervasivo"
